paper,manuscript,study_number,condition,iv,dv,df2,n,sig_type_orig,stim_type_num,att_type_num,strict_monotonicity,exclude_from_meta_analysis,exclude_from_moderator_analysis,comment,jod_type,d_type,f_mean,f_range,d_mean,d_range,within,rc,r_es
Hintzman1970,NA,1,NA,f,jof,113,117,FALSE,0,0,NA,NA,NA,exp1,single,single,2.75,4,4,4,TRUE,0.864409381843085,0.854591239960295
Hintzman1970,NA,1,NA,d,jof,113,117,FALSE,0,0,NA,NA,NA,exp1,single,single,2.75,4,4,4,TRUE,0.140331375473589,0.051090072197976
Hintzman1970,NA,1,NA,f,jod,106,107,FALSE,0,0,NA,NA,NA,exp2,single,single,2.75,4,4,4,TRUE,0.819897877406319,0.774236413892937
Hintzman1970,NA,1,NA,d,jod,106,107,FALSE,0,0,NA,NA,NA,exp2,single,single,2.75,4,4,4,TRUE,0.59235794610483,0.316544563423452
Hintzman1970,NA,3,NA,f,jod,105,108,FALSE,0,0,NA,NA,NA,,single,single,2.75,4,4,4,TRUE,0.840119005833039,0.720299952384895
Hintzman1970,NA,3,NA,d,jod,105,108,FALSE,0,0,NA,NA,NA,,single,single,2.75,4,4,4,TRUE,0.388190133457384,0.297669301912522
Hintzman1970,NA,3,NA,f,jof,105,108,FALSE,0,0,NA,NA,NA,,single,single,2.75,4,4,4,TRUE,0.909106683957424,0.884459226835598
Hintzman1970,NA,3,NA,d,jof,105,108,FALSE,0,0,NA,NA,NA,,single,single,2.75,4,4,4,TRUE,0.37601227616394,0.101544056674531
Hintzman1975,NA,3,NA,f,jod,81,82,FALSE,1,0,NA,NA,NA,dv is jod under recognition,single,single,2,2,5.2,6,TRUE,0.540903336293994,0.373201487970826
Hintzman1975,NA,3,NA,d,jod,81,82,FALSE,1,0,NA,NA,NA,dv is jod under recognition,single,single,2,2,5.2,6,TRUE,0.825668747232915,0.74897473812042
Hintzman1975,NA,3,NA,f,jof,81,82,FALSE,1,0,NA,NA,NA,dv is jod under recognition,single,single,2,2,5.2,6,TRUE,0.961514803637555,0.943513840246376
Hintzman1975,NA,3,NA,d,jof,81,82,FALSE,1,0,NA,NA,NA,dv is jod under recognition,single,single,2,2,5.2,6,TRUE,0.578770567200966,0.099021892811378
