paper,manuscript,study_number,iv,r_es,n,stim_type_num,att_type_num,sum_score,dv,jod_type,condition,n_total,d_type
Betsch2010,NA,1,f,0.21233882010117394,60,0,0,0,jod,total,0 0,540,total
Betsch2010,NA,1,f,0.363010895311455,60,0,0,0,jof,total,0 0,540,total
Betsch2010,NA,1,d,0.03826190430813969,60,0,0,0,jod,total,0 0,540,total
Betsch2010,NA,1,d,0.017990429794763653,60,0,0,0,jof,total,0 0,540,total
Winkler2008,NA,1,f,0.4159465185683357,90,0,0,0,jod,single,0 0,810,single
Winkler2008,NA,1,f,0.8106621170431163,90,0,0,0,jof,single,0 0,810,single
Winkler2008,NA,1,d,0.3869029786869219,90,0,0,0,jod,single,0 0,810,single
Winkler2008,NA,1,d,0.10829026251157912,90,0,0,0,jof,single,0 0,810,single
Winkler2008,NA,1,f,0.3345400412080006,90,0,1,1,jod,single,0 1,810,single
Winkler2008,NA,1,f,0.7362932877988418,90,0,1,1,jof,single,0 1,810,single
Winkler2008,NA,1,d,0.38214257671585844,90,0,1,1,jod,single,0 1,810,single
Winkler2008,NA,1,d,0.09021775463147864,90,0,1,1,jof,single,0 1,810,single
Winkler2008,NA,3,f,0.3350302521098666,31,0,0,0,jod,total,0 0,279,total
Winkler2008,NA,3,f,0.5413070865577779,31,0,0,0,jof,total,0 0,279,total
Winkler2008,NA,3,d,0.17601072704852874,31,0,0,0,jod,total,0 0,279,total
Winkler2008,NA,3,d,0.09155791418865435,31,0,0,0,jof,total,0 0,279,total
Winkler2008,NA,3,f,0.29615118039904453,30,0,1,1,jod,total,0 1,270,total
Winkler2008,NA,3,f,0.46518263450138475,30,0,1,1,jof,total,0 1,270,total
Winkler2008,NA,3,d,0.1596629648622522,30,0,1,1,jod,total,0 1,270,total
Winkler2008,NA,3,d,0.0758148301001814,30,0,1,1,jof,total,0 1,270,total
Winkler2008,NA,4,f,0.1456308596157875,40,0,0,0,jod,total,0 0,360,total
Winkler2008,NA,4,f,0.47316884554997757,40,0,0,0,jof,total,0 0,360,total
Winkler2008,NA,4,d,0.08543385246665447,40,0,0,0,jod,total,0 0,360,total
Winkler2008,NA,4,d,0.0031585317570686686,40,0,0,0,jof,total,0 0,360,total
Winkler2008,NA,4,f,0.177765619008842,40,0,1,1,jod,total,0 1,360,total
